Database,Table,Col #,Column,Data Type,Nullable,Key,Default,Extra,Charset,Collation,Comment
courses,assistants_eligible,1,id,int,NO,PRI,,auto_increment,,,
courses,assistants_eligible,2,courseid,varchar(6),YES,UNI,,,latin1,latin1_swedish_ci,
courses,assistants_eligible,3,gta,tinyint(1),YES,,0,,,,
courses,assistants_eligible,4,usa,tinyint(1),YES,,0,,,,
courses,assistants_eligible,5,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
courses,assistants_eligible,6,dt,datetime,YES,,,,,,
courses,assistants_eligible,7,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
courses,crs_deprecated,1,courseid,varchar(6),NO,PRI,,,latin1,latin1_swedish_ci,
courses,crs_deprecated,2,ub_ent_abbr,char(3),NO,,,,latin1,latin1_swedish_ci,
courses,crs_deprecated,3,course_number,char(3),NO,,,,latin1,latin1_swedish_ci,
courses,crs_deprecated,4,crs_title_name,varchar(50),NO,,,,latin1,latin1_swedish_ci,
courses,crs_deprecated,5,coursetitlelong,varchar(100),YES,,,,latin1,latin1_swedish_ci,
courses,crs_deprecated,6,descriptionlong,varchar(4000),YES,,,,latin1,latin1_swedish_ci,
courses,crs_deprecated,7,rqrmnt_group_long_description,varchar(254),YES,,,,latin1,latin1_swedish_ci,
courses,crs_deprecated,8,coursecareersourcekey,varchar(4),YES,,,,latin1,latin1_swedish_ci,
courses,crs_deprecated,9,hours_minimum,int,NO,,,,,,
courses,crs_deprecated,10,hours_maximum,int,NO,,,,,,
courses,crs_deprecated,11,effectivestatus,varchar(1),YES,,,,latin1,latin1_swedish_ci,
courses,crs_deprecated,12,effectivedate,date,YES,,,,,,
courses,crs_deprecated,13,dt,datetime,YES,,,,,,
courses,crs_local,1,id,int,NO,PRI,,auto_increment,,,
courses,crs_local,2,courseid,varchar(6),NO,UNI,,,latin1,latin1_swedish_ci,
courses,crs_local,3,local_title,varchar(100),YES,,,,latin1,latin1_swedish_ci,
courses,crs_local,4,topic,varchar(500),YES,,,,latin1,latin1_swedish_ci,
courses,crs_local,5,description,blob,YES,,,,,,
courses,crs_local,6,rqrmnt_group_long_description,varchar(2048),YES,,,,latin1,latin1_swedish_ci,
courses,crs_local,7,prereq_text,varchar(1024),YES,,,,latin1,latin1_swedish_ci,
courses,crs_local,8,coreq_text,varchar(500),YES,,,,latin1,latin1_swedish_ci,
courses,crs_local,9,url,varchar(256),YES,,,,latin1,latin1_swedish_ci,
courses,crs_local,10,editor,varchar(8),NO,,,,latin1,latin1_swedish_ci,
courses,crs_local,11,dt,datetime,YES,,,,,,
courses,crs_local,12,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
courses,divisions,1,division,int,NO,PRI,,,,,
courses,divisions,2,division_translation,varchar(4),NO,,,,latin1,latin1_swedish_ci,
courses,focus_area_courses,1,id,int,NO,PRI,,auto_increment,,,
courses,focus_area_courses,2,courseid,varchar(6),NO,MUL,,,latin1,latin1_swedish_ci,
courses,focus_area_courses,3,classnumber,varchar(5),NO,,,,latin1,latin1_swedish_ci,
courses,focus_area_courses,4,termsourcekey,varchar(4),NO,,,,latin1,latin1_swedish_ci,
courses,focus_area_courses,5,majorsourcekey,varchar(9),YES,,,,latin1,latin1_swedish_ci,
courses,focus_area_courses,6,requirement,varchar(7),YES,,,,latin1,latin1_swedish_ci,
courses,focus_area_courses,7,focus_area,varchar(4),YES,,,,latin1,latin1_swedish_ci,
courses,focus_area_courses,8,fulfillment,tinyint(1),YES,,0,,,,
courses,focus_area_courses,9,editor,varchar(8),NO,,,,latin1,latin1_swedish_ci,
courses,focus_area_courses,10,dt,datetime,YES,,,,,,
courses,focus_area_courses,11,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
courses,focus_areas,1,id,int,NO,PRI,,auto_increment,,,
courses,focus_areas,2,abbr,varchar(4),YES,,,,latin1,latin1_swedish_ci,
courses,focus_areas,3,name,varchar(50),YES,,,,latin1,latin1_swedish_ci,
courses,focus_areas,4,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
courses,focus_areas,5,dt,datetime,YES,,,,,,
courses,focus_areas,6,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
courses,inst,1,courseid,varchar(6),NO,PRI,,,latin1,latin1_swedish_ci,
courses,inst,2,section_id,char(3),NO,,,,latin1,latin1_swedish_ci,
courses,inst,3,sessionsourcekey,varchar(3),YES,,,,latin1,latin1_swedish_ci,
courses,inst,4,instructor,char(8),YES,,,,latin1,latin1_swedish_ci,
courses,inst,5,classnumber,varchar(5),NO,PRI,,,latin1,latin1_swedish_ci,
courses,inst,6,course_type,char(3),NO,,,,latin1,latin1_swedish_ci,
courses,inst,7,division_deprecated,varchar(4),YES,,,,latin1,latin1_swedish_ci,
courses,inst,8,enrollment,int,YES,,,,,,
courses,inst,9,force_capacity,int,YES,,,,,,
courses,inst,10,section_status,char(2),YES,,,,latin1,latin1_swedish_ci,
courses,inst,11,semester,varchar(6),NO,,,,latin1,latin1_swedish_ci,
courses,inst,12,termsourcekey,char(4),NO,PRI,,,latin1,latin1_swedish_ci,
courses,inst,13,days_offered,char(6),NO,,,,latin1,latin1_swedish_ci,
courses,inst,14,hours_minimum,int,NO,,,,,,
courses,inst,15,hours_maximum,int,NO,,,,,,
courses,inst,16,building_abbr,varchar(6),YES,,,,latin1,latin1_swedish_ci,
courses,inst,17,room,varchar(20),YES,,,,latin1,latin1_swedish_ci,
courses,inst,18,begin_date,date,YES,,,,,,
courses,inst,19,end_date,date,YES,,,,,,
courses,inst,20,begin_time,char(4),NO,,,,latin1,latin1_swedish_ci,
courses,inst,21,end_time,char(4),NO,,,,latin1,latin1_swedish_ci,
courses,inst,22,dt,datetime,YES,,,,,,
courses,inst_local,1,id,int,NO,PRI,,auto_increment,,,
courses,inst_local,2,courseid,varchar(6),NO,MUL,,,latin1,latin1_swedish_ci,
courses,inst_local,3,classnumber,varchar(5),NO,,,,latin1,latin1_swedish_ci,
courses,inst_local,4,termsourcekey,varchar(4),NO,,,,latin1,latin1_swedish_ci,
courses,inst_local,5,instructor2,varchar(8),YES,,,,latin1,latin1_swedish_ci,
courses,inst_local,6,topic,varchar(128),YES,,,,latin1,latin1_swedish_ci,
courses,inst_local,7,description,blob,YES,,,,,,
courses,inst_local,8,rqrmnt_group_long_description,varchar(1024),YES,,,,latin1,latin1_swedish_ci,
courses,inst_local,9,notes,varchar(512),YES,,,,latin1,latin1_swedish_ci,
courses,inst_local,10,prereq_text,varchar(512),YES,,,,latin1,latin1_swedish_ci,
courses,inst_local,11,coreq_text,varchar(512),YES,,,,latin1,latin1_swedish_ci,
courses,inst_local,12,url,varchar(128),YES,,,,latin1,latin1_swedish_ci,
courses,inst_local,13,editor,varchar(8),NO,,,,latin1,latin1_swedish_ci,
courses,inst_local,14,dt,datetime,NO,,,,,,
courses,inst_local,15,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
courses,rqrmnt_groups,1,rqrmnt_group,varchar(6),NO,PRI,,,latin1,latin1_swedish_ci,
courses,rqrmnt_groups,2,rqrmnt_group_descr,varchar(30),YES,,,,latin1,latin1_swedish_ci,
courses,rqrmnt_groups,3,rqrmnt_group_long_descr,varchar(254),YES,,,,latin1,latin1_swedish_ci,
courses,rqrmnt_groups,4,dt,datetime,YES,,,,,,
courses,section_sts,1,se,varchar(2),NO,PRI,,,latin1,latin1_swedish_ci,
courses,section_sts,2,sect_sts_desc,varchar(40),NO,,,,latin1,latin1_swedish_ci,
courses,transferred_courses,1,id,int,NO,PRI,,auto_increment,,,
courses,transferred_courses,2,userid,varchar(8),YES,MUL,,,latin1,latin1_swedish_ci,
courses,transferred_courses,3,courseid,varchar(6),NO,,,,latin1,latin1_swedish_ci,
courses,transferred_courses,4,creditsearned,"float(5,2)",YES,,,,,,
courses,transferred_courses,5,gradesourcekey,varchar(3),YES,,,,latin1,latin1_swedish_ci,
courses,transferred_courses,6,remote_institution,varchar(100),YES,,,,latin1,latin1_swedish_ci,
courses,transferred_courses,7,remote_subject,varchar(6),YES,,,,latin1,latin1_swedish_ci,
courses,transferred_courses,8,remote_course_number,varchar(3),YES,,,,latin1,latin1_swedish_ci,
courses,transferred_courses,9,remote_title,varchar(100),YES,,,,latin1,latin1_swedish_ci,
courses,transferred_courses,10,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
courses,transferred_courses,11,dt,datetime,YES,,,,,,
courses,transferred_courses,12,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
