Database,Table,Col #,Column,Data Type,Nullable,Key,Default,Extra,Charset,Collation,Comment
facilities,approvals,1,id,int,NO,PRI,,auto_increment,,,
facilities,approvals,2,userid,varchar(8),YES,UNI,,,latin1,latin1_swedish_ci,
facilities,approvals,3,fully_remote,tinyint(1),NO,,0,,,,
facilities,approvals,4,n_desks,tinyint,NO,,0,,,,
facilities,approvals,5,extension_date,date,YES,,,,,,
facilities,approvals,6,comment,blob,YES,,,,,,
facilities,approvals,7,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
facilities,approvals,8,dt,datetime,YES,,,,,,
facilities,approvals,9,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
facilities,buildings,1,building_abbr,varchar(6),YES,,,,latin1,latin1_swedish_ci,
facilities,buildings,2,building,varchar(6),NO,PRI,,,latin1,latin1_swedish_ci,
facilities,buildings,3,building_name,varchar(60),YES,,,,latin1,latin1_swedish_ci,
facilities,buildings,4,building_name_local,varchar(60),YES,,,,latin1,latin1_swedish_ci,
facilities,buildings,5,street_line,varchar(60),YES,,,,latin1,latin1_swedish_ci,
facilities,buildings,6,city,varchar(16),YES,,,,latin1,latin1_swedish_ci,
facilities,buildings,7,state,char(2),YES,,,,latin1,latin1_swedish_ci,
facilities,buildings,8,zipcode,varchar(10),YES,,,,latin1,latin1_swedish_ci,
facilities,buildings,9,lat,"decimal(10,6)",YES,,,,,,
facilities,buildings,10,lon,"decimal(10,6)",YES,,,,,,
facilities,buildings,11,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
facilities,lockers,1,idx,mediumint,NO,PRI,,,,,
facilities,lockers,2,bldabr,varchar(6),YES,,,,latin1,latin1_swedish_ci,
facilities,lockers,3,room,varchar(6),YES,,,,latin1,latin1_swedish_ci,
facilities,lockers,4,combination,varchar(8),YES,,,,latin1,latin1_swedish_ci,
facilities,lockers,5,userid,varchar(8),YES,,,,latin1,latin1_swedish_ci,
facilities,lockers,6,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
facilities,lockers,7,dt,datetime,YES,,,,,,
facilities,lockers,8,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
facilities,moves,1,idx,mediumint,NO,PRI,,auto_increment,,,
facilities,moves,2,location,varchar(25),YES,,,,latin1,latin1_swedish_ci,
facilities,moves,3,task,varchar(100),YES,,,,latin1,latin1_swedish_ci,
facilities,moves,4,show_date,tinyint(1),YES,,0,,,,
facilities,moves,5,planned_dt,date,YES,,,,,,
facilities,moves,6,actual_dt,date,YES,,,,,,
facilities,moves,7,dt,datetime,YES,,,,,,
facilities,occupants,1,id,int,NO,PRI,,auto_increment,,,
facilities,occupants,2,bldabr,varchar(6),NO,MUL,,,latin1,latin1_swedish_ci,
facilities,occupants,3,room,varchar(32),NO,,,,latin1,latin1_swedish_ci,
facilities,occupants,4,desk_number,varchar(2),YES,,,,latin1,latin1_swedish_ci,
facilities,occupants,5,desk_type,"enum('Assignable','Equipment','Hotdesk','Reservation')",YES,,,,latin1,latin1_swedish_ci,
facilities,occupants,6,userid,varchar(8),YES,,,,latin1,latin1_swedish_ci,
facilities,occupants,7,notes,mediumblob,YES,,,,,,
facilities,occupants,8,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
facilities,occupants,9,dt,datetime,YES,,,,,,
facilities,occupants,10,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
facilities,space,1,id,int,NO,PRI,,auto_increment,,,
facilities,space,2,ub_ent_number,varchar(4),YES,,,,latin1,latin1_swedish_ci,
facilities,space,3,bldabr,varchar(6),NO,MUL,,,latin1,latin1_swedish_ci,
facilities,space,4,room,varchar(32),NO,,,,latin1,latin1_swedish_ci,
facilities,space,5,program,varchar(100),YES,,,,latin1,latin1_swedish_ci,
facilities,space,6,occupant,varchar(100),YES,,,,latin1,latin1_swedish_ci,
facilities,space,7,space_type,varchar(4),YES,,,,latin1,latin1_swedish_ci,
facilities,space,8,nsf,"float(7,2)",YES,,,,,,
facilities,space,9,phone,varchar(15),YES,,,,latin1,latin1_swedish_ci,
facilities,space,10,capacity,smallint,YES,,,,,,
facilities,space,11,confspaces,smallint,YES,,,,,,
facilities,space,12,access_level,varchar(100),YES,,,,latin1,latin1_swedish_ci,
facilities,space,13,description,mediumblob,YES,,,,,,
facilities,space,14,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
facilities,space,15,dt,datetime,YES,,,,,,
facilities,space,16,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
facilities,space_alloc,1,bldabr,varchar(6),NO,PRI,,,latin1,latin1_swedish_ci,
facilities,space_alloc,2,room,varchar(5),NO,PRI,,,latin1,latin1_swedish_ci,
facilities,space_alloc,3,pct,"float(3,2)",NO,PRI,,,,,
facilities,space_alloc,4,type,"enum('Instructional','Research','General')",NO,PRI,Instructional,,latin1,latin1_swedish_ci,
facilities,space_alloc,5,dt,datetime,NO,,,,,,
facilities,space_types,1,id,int,NO,PRI,,auto_increment,,,
facilities,space_types,2,space_type,varchar(4),YES,UNI,,,latin1,latin1_swedish_ci,
facilities,space_types,3,state_use_name,varchar(50),YES,,,,latin1,latin1_swedish_ci,
facilities,space_types,4,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
facilities,space_types,5,dt,datetime,YES,,,,,,
