Database,Table,Col #,Column,Data Type,Nullable,Key,Default,Extra,Charset,Collation,Comment
lok,academiclevels,1,id,int,NO,PRI,,auto_increment,,,
lok,academiclevels,2,academiclevelsourcekey,varchar(5),NO,UNI,,,latin1,latin1_swedish_ci,
lok,academiclevels,3,academiclevel,varchar(50),YES,,,,latin1,latin1_swedish_ci,
lok,academiclevels,4,academiclevel_classic,varchar(50),YES,,,,latin1,latin1_swedish_ci,
lok,academiclevels,5,weight,mediumint,YES,,,,,,
lok,academiclevels,6,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
lok,academiclevels,7,dt,datetime,YES,,,,,,
lok,academiclevels,8,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
lok,dma_regions,1,idx,varchar(20),NO,PRI,,,latin1,latin1_swedish_ci,
lok,dma_regions,2,city_name,varchar(30),YES,,,,latin1,latin1_swedish_ci,
lok,dma_regions,3,criteria_id,mediumint,YES,,,,,,
lok,dma_regions,4,dma_region_name,varchar(50),YES,,,,latin1,latin1_swedish_ci,
lok,dma_regions,5,dma_region_code,smallint,YES,,,,,,
lok,dma_regions,6,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
lok,ethnicity,1,ethnicitysourcekey,varchar(8),NO,PRI,,,latin1,latin1_swedish_ci,
lok,ethnicity,2,ethnicity,varchar(50),YES,,,,latin1,latin1_swedish_ci,
lok,ethnicity,3,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
lok,iso_3166_1,1,english_short_name,varchar(50),YES,,,,latin1,latin1_swedish_ci,
lok,iso_3166_1,2,alpha_2_code,char(2),YES,,,,latin1,latin1_swedish_ci,
lok,iso_3166_1,3,alpha_3_code,char(3),NO,PRI,,,latin1,latin1_swedish_ci,
lok,iso_3166_1,4,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
lok,iso_3166_2,1,code,char(5),NO,PRI,,,latin1,latin1_swedish_ci,
lok,iso_3166_2,2,subdivision_name,varchar(40),YES,,,,latin1,latin1_swedish_ci,
lok,iso_3166_2,3,subdivision_category,varchar(20),YES,,,,latin1,latin1_swedish_ci,
lok,iso_3166_2,4,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
lok,major_program,1,idx,int,NO,PRI,,auto_increment,,,
lok,major_program,2,majorsourcekey,varchar(10),NO,,,,latin1,latin1_swedish_ci,
lok,major_program,3,program,varchar(3),NO,,,,latin1,latin1_swedish_ci,
lok,major_program,4,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
lok,programstatus,1,programstatussourcekey,varchar(5),NO,PRI,,,latin1,latin1_swedish_ci,
lok,programstatus,2,programstatus,varchar(50),YES,,,,latin1,latin1_swedish_ci,
lok,programstatus,3,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
