Database,Table,Col #,Column,Data Type,Nullable,Key,Default,Extra,Charset,Collation,Comment
people,cfp_faculty_teaching_prefs,1,id,int,NO,PRI,,auto_increment,,,
people,cfp_faculty_teaching_prefs,2,userid,varchar(8),NO,MUL,,,utf8,utf8_general_ci,
people,cfp_faculty_teaching_prefs,3,crse_id,varchar(6),NO,MUL,,,utf8,utf8_general_ci,
people,cfp_faculty_teaching_prefs,4,term_code,varchar(4),NO,MUL,,,utf8,utf8_general_ci,
people,cfp_faculty_teaching_prefs,5,pref,tinyint,NO,,,,,,
people,cfp_faculty_teaching_prefs,6,editor,varchar(8),YES,,,,utf8,utf8_general_ci,
people,cfp_faculty_teaching_prefs,7,dt,datetime,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED,,,
people,cfp_faculty_teaching_prefs,8,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,class_db_access,1,id,int,NO,PRI,,auto_increment,,,
people,class_db_access,2,principal,varchar(8),NO,MUL,,,latin1,latin1_swedish_ci,
people,class_db_access,3,classnumbersection,varchar(45),NO,,,,latin1,latin1_swedish_ci,
people,class_db_access,4,termsourcekey,int,NO,,,,,,
people,class_db_access,5,db_access,int,NO,,,,,,
people,class_db_access,6,dt,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,class_groups,1,id,int,NO,PRI,,auto_increment,,,
people,class_groups,2,principal,varchar(8),NO,MUL,,,latin1,latin1_swedish_ci,
people,class_groups,3,classnumbersection,varchar(45),NO,,,,latin1,latin1_swedish_ci,
people,class_groups,4,termsourcekey,int,NO,,,,,,
people,class_groups,5,class_group,varchar(4),NO,,,,latin1,latin1_swedish_ci,
people,class_groups,6,dt,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,degrees,1,id,int,NO,PRI,,auto_increment,,,
people,degrees,2,userid,varchar(8),YES,UNI,,,latin1,latin1_swedish_ci,
people,degrees,3,degreesourcekey,varchar(6),YES,,,,latin1,latin1_swedish_ci,
people,degrees,4,institution,varchar(128),YES,,,,latin1,latin1_swedish_ci,
people,degrees,5,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,degrees,6,dt,datetime,YES,,,,,,
people,degrees,7,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,exams_speak_demo,1,id,int,NO,PRI,,auto_increment,,,
people,exams_speak_demo,2,userid,varchar(8),YES,UNI,,,latin1,latin1_swedish_ci,
people,exams_speak_demo,3,score,"enum('EAS 512 Required','Fail','Pass')",YES,,,,latin1,latin1_swedish_ci,
people,exams_speak_demo,4,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,exams_speak_demo,5,dt,datetime,YES,,,,,,
people,exams_speak_demo,6,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,exams_speak_test,1,id,int,NO,PRI,,auto_increment,,,
people,exams_speak_test,2,userid,varchar(8),YES,UNI,,,latin1,latin1_swedish_ci,
people,exams_speak_test,3,score,tinyint(1),YES,,,,,,
people,exams_speak_test,4,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,exams_speak_test,5,dt,datetime,YES,,,,,,
people,exams_speak_test,6,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,gtas,1,id,int,NO,PRI,,auto_increment,,,
people,gtas,2,majorsourcekey,varchar(10),YES,,,,latin1,latin1_swedish_ci,
people,gtas,3,userid,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,gtas,4,courseid,varchar(6),YES,MUL,,,latin1,latin1_swedish_ci,
people,gtas,5,termsourcekey,varchar(4),YES,,,,latin1,latin1_swedish_ci,
people,gtas,6,associateclass,smallint,NO,,1,,,,
people,gtas,7,notes,blob,YES,,,,,,
people,gtas,8,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,gtas,9,dt,datetime,YES,,,,,,
people,gtas,10,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,internships,1,id,int,NO,PRI,,auto_increment,,,
people,internships,2,personno,int,NO,,,,,,
people,internships,3,ubitname,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,internships,4,fname,varchar(45),YES,,,,latin1,latin1_swedish_ci,
people,internships,5,mname,varchar(45),YES,,,,latin1,latin1_swedish_ci,
people,internships,6,lname,varchar(45),YES,,,,latin1,latin1_swedish_ci,
people,internships,7,email,varchar(45),YES,,,,latin1,latin1_swedish_ci,
people,internships,8,semester,varchar(4),YES,,,,latin1,latin1_swedish_ci,
people,internships,9,course,varchar(6),YES,,,,latin1,latin1_swedish_ci,
people,internships,10,credits,int,YES,,,,,,
people,internships,11,company,varchar(45),YES,,,,latin1,latin1_swedish_ci,
people,internships,12,caddress,varchar(45),YES,,,,latin1,latin1_swedish_ci,
people,internships,13,supervisor,varchar(45),YES,,,,latin1,latin1_swedish_ci,
people,internships,14,stitle,varchar(45),YES,,,,latin1,latin1_swedish_ci,
people,internships,15,sphone,varchar(45),YES,,,,latin1,latin1_swedish_ci,
people,internships,16,semail,varchar(45),YES,,,,latin1,latin1_swedish_ci,
people,internships,17,work,text,YES,,,,latin1,latin1_swedish_ci,
people,internships,18,tasks,text,YES,,,,latin1,latin1_swedish_ci,
people,internships,19,skills,text,YES,,,,latin1,latin1_swedish_ci,
people,internships,20,status,varchar(45),YES,,pending,,latin1,latin1_swedish_ci,
people,internships,21,offerletter,varchar(45),YES,,,,latin1,latin1_swedish_ci,
people,internships,22,dt,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,milestones,1,id,int,NO,PRI,,auto_increment,,,
people,milestones,2,userid,varchar(8),NO,MUL,,,latin1,latin1_swedish_ci,
people,milestones,3,milestone,varchar(25),YES,,,,latin1,latin1_swedish_ci,
people,milestones,4,milestone_date,date,YES,,,,,,
people,milestones,5,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,milestones,6,dt,datetime,YES,,,,,,
people,milestones,7,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,office_hours,1,id,int,NO,PRI,,auto_increment,,,
people,office_hours,2,ub_ent_abbr,varchar(3),NO,,,,latin1,latin1_swedish_ci,
people,office_hours,3,userid,varchar(8),NO,,,,latin1,latin1_swedish_ci,
people,office_hours,4,termsourcekey,varchar(4),YES,,,,latin1,latin1_swedish_ci,
people,office_hours,5,bd,date,YES,,,,,,
people,office_hours,6,ed,date,YES,,,,,,
people,office_hours,7,wday,varchar(2),NO,,,,latin1,latin1_swedish_ci,
people,office_hours,8,bt,time,YES,,,,,,
people,office_hours,9,et,time,YES,,,,,,
people,office_hours,10,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,office_hours,11,dt,datetime,YES,,,,,,
people,office_hours,12,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,office_hours_exdates,1,id,int,NO,PRI,,auto_increment,,,
people,office_hours_exdates,2,userid,varchar(8),NO,,,,latin1,latin1_swedish_ci,
people,office_hours_exdates,3,dt,datetime,NO,,,,,,
people,office_hours_exdates,4,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,on_leave,1,id,int,NO,PRI,,auto_increment,,,
people,on_leave,2,ub_ent_abbr,varchar(3),YES,,,,latin1,latin1_swedish_ci,
people,on_leave,3,userid,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,on_leave,4,description,varchar(100),YES,,,,latin1,latin1_swedish_ci,
people,on_leave,5,begin_date,date,YES,,,,,,
people,on_leave,6,end_date,date,YES,,,,,,
people,on_leave,7,notes,blob,YES,,,,,,
people,on_leave,8,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,on_leave,9,dt,datetime,YES,,,,,,
people,on_leave,10,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,phd_advisors,1,id,int,NO,PRI,,auto_increment,,,
people,phd_advisors,2,userid,varchar(8),NO,MUL,,,latin1,latin1_swedish_ci,
people,phd_advisors,3,termsourcekey,varchar(4),NO,,,,latin1,latin1_swedish_ci,
people,phd_advisors,4,advisor,varchar(8),NO,,,,latin1,latin1_swedish_ci,
people,phd_advisors,5,pos,tinyint,YES,,1,,,,
people,phd_advisors,6,active,tinyint(1),YES,,1,,,,
people,phd_advisors,7,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_advisors,8,dt,datetime,YES,,,,,,
people,phd_advisors,9,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,phd_dissertations,1,id,int,NO,PRI,,auto_increment,,,
people,phd_dissertations,2,userid,varchar(8),NO,UNI,,,latin1,latin1_swedish_ci,
people,phd_dissertations,3,committee1,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_dissertations,4,committee2,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_dissertations,5,committee3,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_dissertations,6,proposal_defense_date,date,YES,,,,,,
people,phd_dissertations,7,thesis_defense_date,date,YES,,,,,,
people,phd_dissertations,8,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_dissertations,9,dt,datetime,YES,,,,,,
people,phd_dissertations,10,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,phd_funding,1,id,int,NO,PRI,,auto_increment,,,
people,phd_funding,2,majorsourcekey,varchar(10),YES,,,,latin1,latin1_swedish_ci,
people,phd_funding,3,termsourcekey,varchar(4),NO,,,,latin1,latin1_swedish_ci,
people,phd_funding,4,userid,varchar(8),YES,MUL,,,latin1,latin1_swedish_ci,
people,phd_funding,5,funding_source,varchar(12),YES,,,,latin1,latin1_swedish_ci,
people,phd_funding,6,status,varchar(12),YES,,,,latin1,latin1_swedish_ci,
people,phd_funding,7,notes,blob,YES,,,,,,
people,phd_funding,8,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_funding,9,dt,datetime,YES,,,,,,
people,phd_funding,10,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,phd_funding_sources,1,id,int,NO,PRI,,auto_increment,,,
people,phd_funding_sources,2,abbr,varchar(12),YES,,,,latin1,latin1_swedish_ci,
people,phd_funding_sources,3,name,varchar(30),YES,,,,latin1,latin1_swedish_ci,
people,phd_funding_sources,4,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_funding_sources,5,dt,datetime,YES,,,,,,
people,phd_funding_sources,6,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,phd_notes,1,id,int,NO,PRI,,auto_increment,,,
people,phd_notes,2,userid,varchar(8),NO,,,,latin1,latin1_swedish_ci,
people,phd_notes,3,note,blob,YES,,,,,,
people,phd_notes,4,type,"enum('academic review','award','comment','criticism','personal progress','praise')",YES,,,,latin1,latin1_swedish_ci,
people,phd_notes,5,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_notes,6,dt,datetime,YES,,,,,,
people,phd_notes,7,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
people,phd_oqe,1,id,int,NO,PRI,,auto_increment,,,
people,phd_oqe,2,userid,varchar(8),NO,MUL,,,latin1,latin1_swedish_ci,
people,phd_oqe,3,oqe_self_chosen1,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_oqe,4,oqe_self_chosen2,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_oqe,5,oqe_dept_chosen,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_oqe,6,oqe_date,date,YES,,,,,,
people,phd_oqe,7,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
people,phd_oqe,8,dt,datetime,YES,,,,,,
people,phd_oqe,9,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
