Database,Table,Col #,Column,Data Type,Nullable,Key,Default,Extra,Charset,Collation,Comment
ps_rpt,applications_v,1,id,int,NO,PRI,,auto_increment,,,
ps_rpt,applications_v,2,employeeid,varchar(8),YES,MUL,,,latin1,latin1_swedish_ci,
ps_rpt,applications_v,3,admitterm,varchar(4),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,applications_v,4,highschool,varchar(50),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,applications_v,5,highschoolsourcekey,varchar(11),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,applications_v,6,plansourcekey,varchar(9),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,applications_v,7,majorsourcekey,varchar(9),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,applications_v,8,lastcollegeattendedsourcekey,varchar(11),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,applications_v,9,lastcollegeattended,varchar(100),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,applications_v,10,isadmitted,tinyint(1),YES,,,,,,
ps_rpt,applications_v,11,ismatriculated,tinyint(1),YES,,,,,,
ps_rpt,applications_v,12,dt,datetime,YES,,,,,,
ps_rpt,applications_v,13,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ps_rpt,articulated_transfer_credit_v,1,emplid,varchar(8),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,articulated_transfer_credit_v,2,crse_id,varchar(6),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,articulated_transfer_credit_v,3,trnsfr_src_id,varchar(11),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,articulated_transfer_credit_v,4,articulation_term,varchar(4),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,articulated_transfer_credit_v,5,school_subject,varchar(32),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,articulated_transfer_credit_v,6,school_crse_nbr,varchar(40),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,articulated_transfer_credit_v,7,ext_term,varchar(16),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,articulated_transfer_credit_v,8,descr,varchar(120),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,articulated_transfer_credit_v,9,crse_grade_input,varchar(3),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,articulated_transfer_credit_v,10,crse_grade_off,varchar(3),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,articulated_transfer_credit_v,11,unt_taken,float,YES,,,,,,
ps_rpt,articulated_transfer_credit_v,12,unt_trnsfr,float,YES,,,,,,
ps_rpt,articulated_transfer_credit_v,13,dt,datetime,YES,,,,,,
ps_rpt,articulated_transfer_credit_v,14,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ps_rpt,biodemodatalookup_v,1,emplid,varchar(8),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,biodemodatalookup_v,2,birthcountry,varchar(3),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,biodemodatalookup_v,3,citizenshipcountry,varchar(3),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,biodemodatalookup_v,4,origcitizenshipcountry,varchar(3),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,biodemodatalookup_v,5,personalemailaddr,varchar(70),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,biodemodatalookup_v,6,pronouns,varchar(120),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,biodemodatalookup_v,7,ferpa,varchar(1),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,biodemodatalookup_v,8,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ps_rpt,classschedule_v,1,courseid,varchar(6),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,2,classnumber,varchar(5),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,3,termsourcekey,varchar(4),NO,PRI,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,4,academicorgsourcekey,varchar(10),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,5,academicgroupsourcekey,varchar(5),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,6,classmeetingpattern,varchar(50),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,7,classmeetingpatternsourcekey,varchar(5),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,8,classnumbersection,varchar(20),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,9,classsectionsourcekey,varchar(4),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,10,subjectsourcekey,varchar(8),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,11,catalognumbersourcekey,varchar(10),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,12,coursecareersourcekey,varchar(5),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,13,coursetype,varchar(50),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,14,coursetypesourcekey,varchar(5),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,15,faculty,varchar(50),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,16,facultysourcekey,varchar(8),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,17,location,varchar(50),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,18,locationsourcekey,varchar(10),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,19,room,varchar(50),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,20,roomsourcekey,varchar(10),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,21,sectionstatus,varchar(50),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,22,sectionstatussourcekey,varchar(5),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,23,sessionsourcekey,varchar(5),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,24,sectioncapacity,int,YES,,,,,,
ps_rpt,classschedule_v,25,enrolltotal,int,YES,,,,,,
ps_rpt,classschedule_v,26,classsection,varchar(4),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,27,classstarttime,varchar(7),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,28,classendtime,varchar(7),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,29,startdate,date,YES,,,,,,
ps_rpt,classschedule_v,30,enddate,date,YES,,,,,,
ps_rpt,classschedule_v,31,coursedescription,varchar(50),YES,,,,latin1,latin1_swedish_ci,
ps_rpt,classschedule_v,32,unitsminimum,"float(5,2)",YES,,,,,,
ps_rpt,classschedule_v,33,unitsmximum,"float(5,2)",YES,,,,,,
