Database,Table,Col #,Column,Data Type,Nullable,Key,Default,Extra,Charset,Collation,Comment
research,books,1,userid,varchar(8),NO,PRI,,,latin1,latin1_swedish_ci,
research,books,2,title,varchar(255),NO,PRI,,,latin1,latin1_swedish_ci,
research,books,3,additional,varchar(255),YES,,,,latin1,latin1_swedish_ci,
research,books,4,pmonth,int,YES,,,,,,
research,books,5,pyear,int,NO,,,,,,
research,books,6,errata,varchar(255),YES,,,,latin1,latin1_swedish_ci,
research,books,7,isbn10,char(10),YES,,,,latin1,latin1_swedish_ci,
research,books,8,isbn13,char(14),YES,,,,latin1,latin1_swedish_ci,
research,books,9,dt,datetime,YES,,,,,,
research,dissertations,1,userid,varchar(8),NO,PRI,,,latin1,latin1_swedish_ci,
research,dissertations,2,title,text,NO,,,,latin1,latin1_swedish_ci,
research,dissertations,3,dt,datetime,NO,,,,,,
research,lab_equip,1,bldabr,varchar(6),NO,PRI,,,latin1,latin1_swedish_ci,
research,lab_equip,2,room_arch,varchar(5),NO,PRI,,,latin1,latin1_swedish_ci,
research,lab_equip,3,mission,varchar(20),YES,,,,latin1,latin1_swedish_ci,
research,lab_equip,4,priority,tinyint,NO,,,,,,
research,lab_equip,5,item,varchar(100),NO,PRI,,,latin1,latin1_swedish_ci,
research,lab_equip,6,model,varchar(100),NO,PRI,,,latin1,latin1_swedish_ci,
research,lab_equip,7,status,"enum('Existing','New')",YES,,,,latin1,latin1_swedish_ci,
research,lab_equip,8,notes,varchar(100),YES,,,,latin1,latin1_swedish_ci,
research,lab_equip,9,quantity,smallint,NO,,,,,,
research,lab_equip,10,price,"float(7,2)",YES,,,,,,
research,lab_equip,11,requestor,varchar(8),NO,PRI,,,latin1,latin1_swedish_ci,
research,lab_equip,12,funder,varchar(8),YES,,,,latin1,latin1_swedish_ci,
research,lab_equip,13,dt,datetime,YES,,,,,,
research,lab_models,1,model,varchar(100),NO,PRI,,,latin1,latin1_swedish_ci,
research,lab_models,2,url,varchar(200),YES,,,,latin1,latin1_swedish_ci,
research,lab_models,3,price,"float(8,2)",YES,,,,,,
research,labs,1,abbr,varchar(20),NO,PRI,,,latin1,latin1_swedish_ci,
