Database,Table,Col #,Column,Data Type,Nullable,Key,Default,Extra,Charset,Collation,Comment
ubs_emp,active_employee_directory,1,person_number,varchar(8),NO,PRI,,,latin1,latin1_swedish_ci,
ubs_emp,active_employee_directory,2,name,varchar(150),YES,,,,latin1,latin1_swedish_ci,
ubs_emp,active_employee_directory,3,hierarchy,varchar(10),YES,,,,latin1,latin1_swedish_ci,
ubs_emp,active_employee_directory,4,ub_ent_number,varchar(4),YES,,,,latin1,latin1_swedish_ci,
ubs_emp,active_employee_directory,5,appt_type,varchar(2),YES,,,,latin1,latin1_swedish_ci,
ubs_emp,active_employee_directory,6,appt_type_desc,varchar(25),YES,,,,latin1,latin1_swedish_ci,
ubs_emp,active_employee_directory,7,directory_title,varchar(100),YES,,,,latin1,latin1_swedish_ci,
ubs_emp,active_employee_directory,8,ub_ent_number_desc,varchar(60),YES,,,,latin1,latin1_swedish_ci,
ubs_emp,active_employee_directory,9,prim_phone_fmt,varchar(14),YES,,,,latin1,latin1_swedish_ci,
ubs_emp,active_employee_directory,10,prim_appt_indr,varchar(1),YES,,,,latin1,latin1_swedish_ci,
ubs_emp,active_employee_directory,11,dt,datetime,YES,,,,,,
ubs_emp,active_employee_directory,12,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ubs_emp,cfp_appointments,1,appointment_id,bigint unsigned,NO,PRI,,auto_increment,,,
ubs_emp,cfp_appointments,2,person_number,varchar(8),NO,MUL,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_emp,cfp_appointments,3,next_promotion_date,date,YES,,,,,,
ubs_emp,cfp_appointments,4,employer,varchar(50),NO,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_emp,cfp_appointments,5,appointment_type,varchar(50),NO,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_emp,cfp_appointments,6,appointment_term,varchar(50),NO,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_emp,cfp_appointments,7,base_entity,varchar(4),NO,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_emp,cfp_appointments,8,official_job_title,varchar(100),NO,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_emp,cfp_appointments,9,in_house_title,varchar(255),YES,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_emp,cfp_appointments,10,standard_course_load,"decimal(4,2)",YES,,,,,,
ubs_emp,cfp_appointments,11,appointment_effective_date,date,NO,,,,,,
ubs_emp,cfp_appointments,12,appointment_end_date,date,YES,,,,,,
ubs_emp,cfp_appointments,13,editor,varchar(8),YES,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_emp,cfp_appointments,14,dt,datetime,YES,,,,,,
ubs_emp,cfp_appointments,15,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ubs_emp,cfp_committee_assignment,1,assignment_id,bigint unsigned,NO,PRI,,auto_increment,,,
ubs_emp,cfp_committee_assignment,2,catalog_id,int,NO,MUL,,,,,
ubs_emp,cfp_committee_assignment,3,userid,varchar(8),NO,MUL,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_emp,cfp_committee_assignment,4,role_code,"enum('P','C','V','X','A')",NO,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_emp,cfp_committee_assignment,5,academic_year,varchar(9),NO,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_emp,cfp_committee_assignment,6,editor,varchar(8),YES,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_emp,cfp_committee_assignment,7,dt,datetime,YES,,,,,,
ubs_emp,cfp_committee_assignment,8,ts,timestamp,NO,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ubs_emp,cfp_committee_catalog,1,catalog_id,int,NO,PRI,,auto_increment,,,
ubs_emp,cfp_committee_catalog,2,source_committee_id,int,YES,UNI,,,,,
ubs_emp,cfp_committee_catalog,3,name,varchar(255),NO,UNI,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_emp,cfp_committee_catalog,4,kind,"enum('leadership','committee','taskforce','seas','pool')",YES,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_emp,cfp_committee_catalog,5,service_category,tinyint,YES,,,,,,
