Database,Table,Col #,Column,Data Type,Nullable,Key,Default,Extra,Charset,Collation,Comment
ubs_rf,award_pi_credit_v,1,ub_award_number,varchar(15),NO,PRI,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_rf,award_pi_credit_v,2,rf_award_number,varchar(6),YES,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_rf,award_pi_credit_v,3,project_number,varchar(7),NO,PRI,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_rf,award_pi_credit_v,4,person_id,varchar(8),NO,PRI,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_rf,award_pi_credit_v,5,pi_share,"float(5,2)",YES,,,,,,
ubs_rf,award_pi_credit_v,6,primary_investigator,tinyint(1),YES,,,,,,
ubs_rf,award_pi_credit_v,7,entity,varchar(4),YES,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_rf,award_pi_credit_v,8,dt,datetime,YES,,,,,,
ubs_rf,award_pi_credit_v,9,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
ubs_rf,award_v,1,award_number,varchar(6),NO,PRI,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_rf,award_v,2,person_number,varchar(8),YES,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_rf,award_v,3,title,varchar(250),YES,,,,utf8mb4,utf8mb4_0900_ai_ci,
ubs_rf,award_v,4,award_start,date,YES,,,,,,
ubs_rf,award_v,5,award_end,date,YES,,,,,,
ubs_rf,award_v,6,dt,datetime,YES,,,,,,
ubs_rf,award_v,7,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
