Database,Table,Col #,Column,Data Type,Nullable,Key,Default,Extra,Charset,Collation,Comment
budget,appointments,1,id,int,NO,PRI,,auto_increment,,,
budget,appointments,2,ub_ent_abbr,varchar(3),YES,,,,latin1,latin1_swedish_ci,
budget,appointments,3,termsourcekey,varchar(4),YES,MUL,,,latin1,latin1_swedish_ci,
budget,appointments,4,userid,varchar(8),YES,,,,latin1,latin1_swedish_ci,
budget,appointments,5,appt_status,varchar(13),YES,,New,,latin1,latin1_swedish_ci,
budget,appointments,6,pay_rate_per_hour,"decimal(10,2)",NO,,0.00,,,,
budget,appointments,7,initial_email,tinyint(1),YES,,0,,,,
budget,appointments,8,student_confirmed,tinyint(1),YES,,0,,,,
budget,appointments,9,docs_received,tinyint(1),YES,,0,,,,
budget,appointments,10,eptf_submitted,tinyint(1),YES,,0,,,,
budget,appointments,11,appt_confirmed,tinyint(1),YES,,0,,,,
budget,appointments,12,appt_complete,tinyint(1),YES,,0,,,,
budget,appointments,13,note,blob,YES,,,,,,
budget,appointments,14,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
budget,appointments,15,dt,datetime,YES,,,,,,
budget,appointments,16,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
budget,approvals,1,id,int,NO,PRI,,auto_increment,,,
budget,approvals,2,courseid,varchar(6),NO,MUL,,,latin1,latin1_swedish_ci,
budget,approvals,3,termsourcekey,varchar(4),NO,,,,latin1,latin1_swedish_ci,
budget,approvals,4,associateclass,smallint,NO,,0,,,,
budget,approvals,5,cta_approved_hours,"decimal(10,2)",NO,,0.00,,,,
budget,approvals,6,comment,text,YES,,,,latin1,latin1_swedish_ci,
budget,approvals,7,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
budget,approvals,8,dt,datetime,YES,,,,,,
budget,approvals,9,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
budget,chat,1,id,int,NO,PRI,,auto_increment,,,
budget,chat,2,courseid,varchar(6),NO,,,,latin1,latin1_swedish_ci,
budget,chat,3,termsourcekey,varchar(4),NO,,,,latin1,latin1_swedish_ci,
budget,chat,4,associateclass,smallint,NO,,0,,,,
budget,chat,5,comment,text,YES,,,,latin1,latin1_swedish_ci,
budget,chat,6,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
budget,chat,7,dt,datetime,YES,,,,,,
budget,chat,8,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
budget,claims,1,id,int,NO,PRI,,auto_increment,,,
budget,claims,2,courseid,varchar(6),NO,MUL,,,latin1,latin1_swedish_ci,
budget,claims,3,termsourcekey,varchar(4),YES,,,,latin1,latin1_swedish_ci,
budget,claims,4,associateclass,smallint,NO,,0,,,,
budget,claims,5,userid,varchar(8),YES,,,,latin1,latin1_swedish_ci,
budget,claims,6,pp_number,tinyint,YES,,,,,,
budget,claims,7,meeting_minutes,smallint,NO,,0,,,,
budget,claims,8,supervision_minutes,smallint,NO,,0,,,,
budget,claims,9,content_minutes,smallint,NO,,0,,,,
budget,claims,10,lab_minutes,smallint,NO,,0,,,,
budget,claims,11,rec_minutes,smallint,NO,,0,,,,
budget,claims,12,piazza_minutes,smallint,NO,,0,,,,
budget,claims,13,office_minutes,smallint,NO,,0,,,,
budget,claims,14,grading_minutes,smallint,NO,,0,,,,
budget,claims,15,proctoring_minutes,smallint,NO,,0,,,,
budget,claims,16,editor,varchar(8),YES,,,,latin1,latin1_swedish_ci,
budget,claims,17,dt,datetime,YES,,,,,,
budget,claims,18,ts,timestamp,YES,,CURRENT_TIMESTAMP,DEFAULT_GENERATED on update CURRENT_TIMESTAMP,,,
budget,pay_periods,1,id,int,NO,PRI,,auto_increment,,,
budget,pay_periods,2,fy_abbr,varchar(5),NO,MUL,,,latin1,latin1_swedish_ci,
